id,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,gender,age
13,14,5,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1,16
14,15,3,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1,17
15,16,5,3.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,1.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,1,17
16,17,4,3.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,2,17
17,18,5,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,1,17
18,19,3,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,2,16
19,20,3,3.0,3.0,5.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2,17
20,21,5,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,1,17
21,22,3,5.0,3.0,4.0,4.0,4.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,2,17
22,23,4,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,1,68
23,24,5,2.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,2,27
24,25,5,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,1,18
25,26,3,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2,20
26,27,4,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,5.0,2,51
27,28,4,2.0,2.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,2,14
28,29,5,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2,33
29,30,3,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,2,18
30,31,5,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2,17
31,32,4,4.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,3.0,2,41
32,33,4,4.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,1,23
33,34,4,2.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,2,17
34,35,4,4.0,3.0,2.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,1,20
35,36,5,3.0,5.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1,23
36,37,4,2.0,2.0,5.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,1,20
37,38,4,4.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1,21
38,39,3,3.0,2.0,2.0,2.0,3.0,5.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,1,30
39,40,3,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,2,48
40,41,4,3.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2,40
41,42,3,2.0,3.0,3.0,1.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2,27
42,43,3,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1,18
43,44,4,3.0,4.0,2.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,2.0,2.0,1.0,2.0,2.0,5.0,4.0,4.0,5.0,4.0,1,20
44,45,5,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2,24
45,46,4,2.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,1,25
46,47,3,4.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,5.0,3.0,1,22
47,48,5,4.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2,18
48,49,5,3.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,2,43
49,50,4,4.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1,20
50,51,4,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,2,24
51,52,4,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,2,26
52,53,3,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,1,26
53,54,3,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,5.0,4.0,4.0,5.0,4.0,2,25
54,55,4,2.0,4.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,1,25
55,56,3,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,1,26
56,57,5,3.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,5.0,2,21
57,58,3,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,1,24
58,59,3,2.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,2,50
59,60,4,3.0,2.0,1.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,1,29
60,61,4,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1,32
61,62,5,4.0,5.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,1,18
62,63,3,3.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,2,32
63,64,3,3.0,4.0,1.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,5.0,3.0,5.0,2.0,2,26
64,65,4,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,2,27
65,66,5,5.0,3.0,5.0,4.0,2.0,3.0,1.0,1.0,3.0,5.0,5.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2,19
66,67,5,2.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,1,21
67,68,4,3.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,1,21
68,69,3,5.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2,36
69,70,5,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2,48
70,71,4,4.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,3.0,3.0,2,22
71,72,5,3.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,2,23
72,73,4,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,1,21
73,74,3,2.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2,20
74,75,4,3.0,5.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,5.0,4.0,5.0,5.0,4.0,2,23
75,76,4,3.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,2,43
76,77,5,3.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2,16
77,78,3,2.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,2,14
78,79,3,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,2,54
79,80,5,4.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,1,20
80,81,5,4.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,1,28
81,82,4,2.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,2,38
82,83,3,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,1,38
83,84,5,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,1,27
84,85,5,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,1.0,2,18
85,86,5,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,3.0,4.0,1,29
86,87,3,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,2,50
87,88,3,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,2,50
88,89,4,3.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2,20
89,90,4,3.0,2.0,4.0,1.0,5.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2,19
90,91,4,5.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2,56
91,92,3,2.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,5.0,2,29
92,93,3,4.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,2,29
93,94,4,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2,48
94,95,4,2.0,1.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2,30
95,96,5,5.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,2,21
96,97,3,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,1,19
97,98,4,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,1,42
98,99,5,3.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,2,18
99,100,5,2.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2,50
100,101,3,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2,24
101,102,4,2.0,1.0,1.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,1,25
102,103,4,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0,4.0,1,47
103,104,3,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,2,18
104,105,3,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0,5.0,5.0,4.0,3.0,2,37
105,106,3,4.0,2.0,5.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,5.0,3.0,2,33
106,107,5,2.0,4.0,5.0,5.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,2,40
107,108,3,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,1,18
108,109,4,2.0,5.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,2,21
109,110,3,5.0,4.0,4.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,5.0,4.0,5.0,2,27
110,111,4,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2,19
111,112,3,4.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,2,36
112,113,3,4.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,3.0,3.0,2,19
113,114,5,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,2,29
114,115,3,2.0,2.0,1.0,2.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,2,23
115,116,4,4.0,5.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,1,23
116,117,5,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,1,20
117,118,3,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,1,24
118,119,4,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,1,24
119,120,4,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,1,26
120,121,3,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,2,25
121,122,5,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,1.0,3.0,3.0,1,24
122,123,3,3.0,5.0,3.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,1,24
123,124,3,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,1,28
124,125,3,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,1,22
125,126,3,4.0,4.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,1,26
126,127,4,5.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1,25
127,128,5,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1,23
128,129,3,3.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,1,22
129,130,4,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,2,19
